,job_in_apr,work_in_apr,src_income_before_apr,lost_income_in_apr,total_income_in_apr,uif_in_apr,grant_from_gov_ques,grant_from_gov
2499,No,No,Government grants,Yes,2220.0,Yes,Yes,Child Support Grant (CSG)
2500,No,No,Government grants,Yes,3000.0,No,Yes,Child Support Grant (CSG)
2509,No,No,Government grants,No,2500.0,Yes,Yes,Child Support Grant (CSG)
2510,No,No,Government grants,No,2100.0,Yes,Yes,Disability Grant
2511,No,No,Government grants,No,2000.0,Yes,Yes,Disability Grant
2517,No,No,Income from employment,Yes,2000.0,No,Yes,Foster Child Grant
2519,No,No,Government grants,Yes,2000.0,Yes,Yes,Old Age Pension Grant (OAP)
2525,No,No,Income from employment,No,3520.0,Yes,Yes,Child Support Grant (CSG)
2528,No,No,Money from friends or family,No,3480.0,No,Yes,Child Support Grant (CSG)
2532,No,No,Income from employment,Yes,0.0,No,Yes,Child Support Grant (CSG)
2548,No,No,Income from employment,No,,Yes,Yes,Social relief or distress grant
2556,No,No,Government grants,Yes,2420.0,No,Yes,Child Support Grant (CSG)
2558,No,No,Government grants,No,2600.0,Yes,Yes,Child Support Grant (CSG)
2560,No,No,Household had no income in February,No,0.0,No,Yes,Child Support Grant (CSG)
2561,No,No,Government grants,No,0.0,Yes,Yes,Child Support Grant (CSG)
2562,No,No,Government grants,No,1400.0,Yes,Yes,Old Age Pension Grant (OAP)
2566,No,No,Household had no income in February,No,0.0,Yes,Yes,Child Support Grant (CSG)
2568,No,No,Government grants,No,,No,Yes,Old Age Pension Grant (OAP)
2574,No,No,Income from employment,No,,Yes,Yes,Disability Grant
2575,No,No,Government grants,No,,Yes,Yes,Disability Grant
2577,No,Yes,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
2580,No,No,Government grants,Yes,2200.0,Yes,Yes,Disability Grant
2581,No,No,Government grants,Yes,4020.0,Yes,Yes,Old Age Pension Grant (OAP)
2586,No,No,Income from employment,No,2010.0,No,Yes,Old Age Pension Grant (OAP)
2588,No,No,Government grants,Yes,3350.0,No,Yes,Child Support Grant (CSG)
2590,No,No,Government grants,No,,No,Yes,Old Age Pension Grant (OAP)
2593,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
2602,No,No,Income from a business,Yes,880.0,No,Yes,Child Support Grant (CSG)
2605,No,No,Household had no income in February,Yes,350.0,No,Yes,R350 COVID-19 Social Relief of Distress Grant
2608,No,No,Government grants,No,1500.0,Yes,Yes,Old Age Pension Grant (OAP)
2611,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
2617,No,No,Money from friends or family,No,,No,Yes,Old Age Pension Grant (OAP)
2618,No,No,Government grants,No,3000.0,Yes,Yes,Child Support Grant (CSG)
2619,No,No,Government grants,No,,No,Yes,Social relief or distress grant
2620,No,No,Household had no income in February,No,440.0,Yes,Yes,Child Support Grant (CSG)
2622,No,No,Government grants,Yes,3300.0,No,Yes,Disability Grant
2623,No,No,Household had no income in February,No,750.0,Yes,Yes,Child Support Grant (CSG)
2624,No,No,Income from employment,No,,Yes,Yes,Child Support Grant (CSG)
2625,No,No,Income from employment,Yes,,Yes,Yes,Child Support Grant (CSG)
2638,No,No,Government grants,No,1700.0,Yes,Yes,Old Age Pension Grant (OAP)
2639,No,No,Income from employment,No,0.0,No,Yes,Child Support Grant (CSG)
2640,No,No,Government grants,No,3800.0,No,Yes,Disability Grant
2641,No,No,Government grants,No,,Yes,Yes,Disability Grant
2647,No,No,Government grants,No,1700.0,Yes,Yes,Disability Grant
2652,No,No,Government grants,No,1500.0,No,Yes,Child Support Grant (CSG)
2653,No,No,Government grants,Yes,1620.0,No,Yes,Child Support Grant (CSG)
2655,No,No,Government grants,Yes,1000.0,Yes,Yes,Old Age Pension Grant (OAP)
2657,No,No,Government grants,No,1900.0,No,Yes,Child Support Grant (CSG)
2663,No,No,Government grants,No,1100.0,No,Yes,Child Support Grant (CSG)
2664,No,No,Household had no income in February,No,0.0,Yes,Yes,Child Support Grant (CSG)
2665,No,No,Income from employment,No,,Yes,Yes,Child Support Grant (CSG)
2670,No,No,Income from employment,No,2200.0,Yes,Yes,Child Support Grant (CSG)
2678,No,No,Government grants,Yes,880.0,Yes,Yes,Child Support Grant (CSG)
2684,No,No,Government grants,No,1880.0,No,Yes,Child Support Grant (CSG)
2691,No,No,Government grants,Yes,,No,Yes,Disability Grant
2705,No,No,Government grants,Yes,440.0,Yes,Yes,Child Support Grant (CSG)
2706,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
2729,No,No,Government grants,Yes,,Yes,Yes,Disability Grant
2730,No,No,Government grants,No,2200.0,No,Yes,Child Support Grant (CSG)
2732,No,No,Household had no income in February,No,3000.0,Yes,Yes,Child Support Grant (CSG)
2733,No,No,Government grants,Yes,1500.0,No,Yes,Child Support Grant (CSG)
2734,No,No,Government grants,Yes,0.0,No,Yes,Disability Grant
2737,No,No,Income from employment,No,4000.0,Yes,Yes,Child Support Grant (CSG)
2739,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
2747,No,No,Government grants,No,15000.0,Yes,Yes,Child Support Grant (CSG)
2761,No,Yes,Household had no income in February,Yes,1900.0,Yes,Yes,Child Support Grant (CSG)
2763,No,No,Government grants,No,750.0,Yes,Yes,Child Support Grant (CSG)
2781,No,No,Government grants,No,2100.0,No,Yes,Disability Grant
2788,No,No,Income from a business,Yes,,Yes,Yes,Other (specify)
2789,No,No,Government grants,No,1600.0,No,Yes,Old Age Pension Grant (OAP)
2798,No,No,Other (specify),No,17000.0,No,Yes,Old Age Pension Grant (OAP)
2805,No,No,Income from employment,No,6000.0,Yes,Yes,Disability Grant
2809,No,No,Government grants,No,2000.0,Yes,Yes,Old Age Pension Grant (OAP)
2821,No,No,Government grants,No,2000.0,Yes,Yes,Old Age Pension Grant (OAP)
2830,No,No,Government grants,No,2200.0,No,Yes,Child Support Grant (CSG)
2832,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
2866,No,No,Government grants,Yes,2800.0,Yes,Yes,Child Support Grant (CSG)
2874,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
2888,No,No,Government grants,No,4000.0,Yes,Yes,Old Age Pension Grant (OAP)
2899,No,No,Government grants,Yes,1780.0,Yes,Yes,Disability Grant
2910,No,No,Government grants,No,3000.0,No,Yes,Child Support Grant (CSG)
2917,No,No,Income from employment,No,8300.0,Yes,Yes,Child Support Grant (CSG)
2938,No,No,Government grants,No,2000.0,Yes,Yes,Old Age Pension Grant (OAP)
2956,No,No,Government grants,Yes,4000.0,No,Yes,Child Support Grant (CSG)
2967,No,No,Government grants,Yes,3000.0,Yes,Yes,Old Age Pension Grant (OAP)
2969,No,No,Government grants,Yes,1800.0,Yes,Yes,Old Age Pension Grant (OAP)
2981,No,No,Household had no income in February,Yes,5000.0,Yes,Yes,Old Age Pension Grant (OAP)
2997,No,No,Government grants,No,6000.0,Yes,Yes,Old Age Pension Grant (OAP)
3024,No,No,Government grants,No,4000.0,Yes,Yes,Old Age Pension Grant (OAP)
3026,No,No,Government grants,No,6500.0,Yes,Yes,Child Support Grant (CSG)
3028,No,No,Income from employment,Yes,4000.0,No,Yes,Old Age Pension Grant (OAP)
3031,No,No,Government grants,No,1700.0,Yes,Yes,Old Age Pension Grant (OAP)
3049,No,No,Government grants,No,1780.0,Yes,Yes,Old Age Pension Grant (OAP)
3052,No,No,Household had no income in February,No,400.0,No,Yes,Child Support Grant (CSG)
3087,No,No,Government grants,No,2400.0,No,Yes,Disability Grant
3089,No,No,Household had no income in February,No,,Yes,Yes,Disability Grant
3107,No,No,Government grants,No,4200.0,No,Yes,Disability Grant
3108,No,No,Income from employment,Yes,18000.0,Yes,Yes,Other (specify)
3110,No,No,Government grants,No,3500.0,Yes,Yes,Old Age Pension Grant (OAP)
3120,No,No,Income from employment,Yes,3000.0,Yes,Yes,Child Support Grant (CSG)
3124,No,No,Government grants,Yes,2000.0,Yes,Yes,Old Age Pension Grant (OAP)
3144,No,No,Government grants,No,,No,Yes,Disability Grant
3150,No,No,Money from friends or family,Yes,0.0,Yes,Yes,Disability Grant
3157,No,No,Household had no income in February,No,7000.0,Yes,Yes,Old Age Pension Grant (OAP)
3160,No,No,Income from employment,No,4000.0,Yes,Yes,Disability Grant
3161,No,No,Income from employment,No,,Yes,Yes,Social relief or distress grant
3163,No,No,Government grants,No,,No,Yes,Old Age Pension Grant (OAP)
3194,No,No,Income from employment,No,8000.0,Yes,Yes,Disability Grant
3203,No,No,Income from employment,Yes,2700.0,No,Yes,Child Support Grant (CSG)
3224,No,No,Government grants,Yes,3400.0,Yes,Yes,Old Age Pension Grant (OAP)
3237,No,No,Income from employment,Yes,,Yes,Yes,Disability Grant
3272,No,No,Government grants,No,2100.0,No,Yes,Old Age Pension Grant (OAP)
3300,No,No,Income from employment,No,,Yes,Yes,Disability Grant
3309,No,No,Government grants,No,,No,Yes,Child Support Grant (CSG)
3311,No,No,Government grants,No,4000.0,No,Yes,Disability Grant
3316,No,No,Income from a business,Yes,0.0,No,Yes,Old Age Pension Grant (OAP)
3317,No,No,Government grants,Yes,3500.0,No,Yes,Old Age Pension Grant (OAP)
3318,No,No,Household had no income in February,Yes,,Yes,Yes,Child Support Grant (CSG)
3322,No,No,Government grants,No,860.0,No,Yes,Child Support Grant (CSG)
3336,No,No,Government grants,Yes,940.0,No,Yes,Child Support Grant (CSG)
3337,No,No,Government grants,Yes,3500.0,No,Yes,Disability Grant
3341,No,No,Government grants,No,,Yes,Yes,Disability Grant
3347,No,No,Government grants,No,2000.0,Yes,Yes,Child Support Grant (CSG)
3350,No,No,Income from employment,Yes,4000.0,Yes,Yes,Child Support Grant (CSG)
3368,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
3370,No,No,Government grants,No,1700.0,Yes,Yes,Old Age Pension Grant (OAP)
3378,No,No,Government grants,No,2100.0,Yes,Yes,Old Age Pension Grant (OAP)
3383,No,No,Government grants,Yes,4000.0,Yes,Yes,Old Age Pension Grant (OAP)
3384,No,No,Government grants,No,4320.0,Yes,Yes,Old Age Pension Grant (OAP)
3387,No,No,Government grants,Yes,,No,Yes,Child Support Grant (CSG)
3388,No,No,Government grants,No,,No,Yes,Old Age Pension Grant (OAP)
3389,No,No,Government grants,No,2300.0,Yes,Yes,Disability Grant
3391,No,No,Money from friends or family,Yes,3000.0,No,Yes,Child Support Grant (CSG)
3392,No,No,Government grants,No,2100.0,No,Yes,Disability Grant
3418,No,No,Government grants,No,,Yes,Yes,Foster Child Grant
3419,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
3431,No,No,Government grants,No,440.0,Yes,Yes,Child Support Grant (CSG)
3454,No,No,Government grants,No,3500.0,Yes,Yes,Other (specify)
3465,No,No,Government grants,Yes,,Yes,Yes,Child Support Grant (CSG)
3472,No,No,Government grants,No,740.0,Yes,Yes,Child Support Grant (CSG)
3479,No,No,Government grants,No,3500.0,Yes,Yes,Child Support Grant (CSG)
3481,No,No,Government grants,Yes,,Yes,Yes,Child Support Grant (CSG)
3488,No,No,Household had no income in February,No,,Yes,Yes,Other (specify)
3552,No,No,Household had no income in February,No,5000.0,Yes,Yes,Other (specify)
3555,No,No,Income from employment,No,,Yes,Yes,Child Support Grant (CSG)
3561,No,No,Income from employment,No,15000.0,Yes,Yes,Other (specify)
3583,No,No,Government grants,No,3000.0,Yes,Yes,Other (specify)
3589,No,No,Government grants,No,4500.0,Yes,Yes,Foster Child Grant
3592,No,No,Income from employment,No,42000.0,Yes,Yes,Social relief or distress grant
3595,No,No,Government grants,No,,No,Yes,Other (specify)
3596,No,No,Government grants,No,2300.0,Yes,Yes,Other (specify)
3599,No,No,Income from employment,No,,Yes,Yes,R350 COVID-19 Social Relief of Distress Grant
3603,No,No,Government grants,No,950.0,Yes,Yes,R350 COVID-19 Social Relief of Distress Grant
3605,No,No,Government grants,No,,Yes,Yes,Other (specify)
3613,No,No,Government grants,No,2500.0,Yes,Yes,Foster Child Grant
3623,No,No,Government grants,No,2000.0,Yes,Yes,Foster Child Grant
3624,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
3625,No,No,Income from employment,No,,Yes,Yes,Other (specify)
3641,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
3649,No,No,Government grants,No,2700.0,Yes,Yes,Foster Child Grant
3655,No,No,Government grants,No,,Yes,Yes,Foster Child Grant
3661,No,No,Government grants,No,,Yes,Yes,Disability Grant
3665,No,No,Government grants,No,,Yes,Yes,Other (specify)
3676,No,No,Income from employment,Yes,3900.0,No,Yes,Child Support Grant (CSG)
3679,No,No,Government grants,Yes,5000.0,Yes,Yes,Other (specify)
3684,No,No,Government grants,No,,No,Yes,Child Support Grant (CSG)
3689,No,No,Government grants,No,,Yes,Yes,Other (specify)
3701,No,No,Household had no income in February,No,700.0,Yes,Yes,Other (specify)
3708,No,No,Money from friends or family,No,,Yes,Yes,Other (specify)
3715,No,No,Other (specify),No,850.0,Yes,Yes,Other (specify)
3716,No,No,Government grants,No,2100.0,No,Yes,Child Support Grant (CSG)
3719,No,No,Income from employment,No,,Yes,Yes,Other (specify)
3721,No,No,Government grants,No,2100.0,Yes,Yes,Other (specify)
3724,No,No,Money from friends or family,No,,Yes,Yes,Other (specify)
3727,No,No,Money from friends or family,No,1300.0,Yes,Yes,Other (specify)
3739,No,No,Income from employment,Yes,,Yes,Yes,R350 COVID-19 Social Relief of Distress Grant
3742,No,No,Government grants,Yes,,Yes,Yes,Other (specify)
3743,No,Yes,Income from a business,No,,Yes,Yes,R350 COVID-19 Social Relief of Distress Grant
3745,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
3750,No,No,Government grants,Yes,,Yes,Yes,Old Age Pension Grant (OAP)
3770,No,No,Income from a business,Yes,1000.0,Yes,Yes,Other (specify)
3772,No,No,Household had no income in February,Yes,,No,Yes,Other (specify)
3775,No,No,Income from employment,No,,Yes,Yes,Foster Child Grant
3783,No,No,Government grants,No,,No,Yes,R350 COVID-19 Social Relief of Distress Grant
3809,No,No,Government grants,Yes,4000.0,No,Yes,Child Support Grant (CSG)
3810,No,No,Money from friends or family,No,,Yes,Yes,Other (specify)
3812,No,No,Income from employment,Yes,,Yes,Yes,Other (specify)
3820,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
3821,No,No,Income from employment,No,9000.0,Yes,Yes,Old Age Pension Grant (OAP)
3827,No,No,Government grants,Yes,,No,Yes,Child Support Grant (CSG)
3829,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
3831,No,No,Government grants,No,,No,Yes,Child Support Grant (CSG)
3833,No,No,Government grants,No,750.0,Yes,Yes,Child Support Grant (CSG)
3838,No,No,Government grants,No,0.0,Yes,Yes,R350 COVID-19 Social Relief of Distress Grant
3840,No,No,Government grants,No,,Yes,Yes,R350 COVID-19 Social Relief of Distress Grant
3851,No,No,Government grants,No,,Yes,Yes,R350 COVID-19 Social Relief of Distress Grant
3858,No,No,Government grants,Yes,3580.0,No,Yes,Child Support Grant (CSG)
3868,No,No,Income from employment,No,,Yes,Yes,Other (specify)
3869,No,No,Government grants,No,,No,Yes,Child Support Grant (CSG)
3870,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
3880,No,No,Government grants,Yes,,Yes,Yes,Child Support Grant (CSG)
3886,No,No,Government grants,No,5000.0,Yes,Yes,Child Support Grant (CSG)
3888,No,No,Money from friends or family,No,,Yes,Yes,Other (specify)
3895,No,No,Household had no income in February,No,0.0,Yes,Yes,Child Support Grant (CSG)
3898,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
3901,No,No,Government grants,Yes,3500.0,No,Yes,Child Support Grant (CSG)
3903,No,No,Government grants,Yes,4000.0,No,Yes,Other (specify)
3909,No,No,Government grants,No,900.0,Yes,Yes,Child Support Grant (CSG)
3912,No,No,Government grants,No,4000.0,No,Yes,Child Support Grant (CSG)
3922,No,No,Government grants,No,2000.0,Yes,Yes,Old Age Pension Grant (OAP)
3928,No,No,Government grants,No,750.0,Yes,Yes,Child Support Grant (CSG)
3929,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
3947,No,No,Government grants,No,0.0,Yes,Yes,Other (specify)
3950,No,No,Money from friends or family,No,2500.0,No,Yes,Child Support Grant (CSG)
3952,No,No,Government grants,No,1500.0,Yes,Yes,Disability Grant
3964,No,No,Household had no income in February,No,940.0,Yes,Yes,Child Support Grant (CSG)
3965,No,No,Government grants,Yes,,Yes,Yes,Child Support Grant (CSG)
3971,No,No,Government grants,Yes,2000.0,No,Yes,R350 COVID-19 Social Relief of Distress Grant
3972,No,No,Income from a business,No,,Yes,Yes,Child Support Grant (CSG)
3979,No,No,Government grants,No,,Yes,Yes,R350 COVID-19 Social Relief of Distress Grant
3980,No,No,Government grants,No,2500.0,No,Yes,Other (specify)
3983,No,No,Household had no income in February,No,500.0,No,Yes,Child Support Grant (CSG)
3984,No,No,Money from friends or family,Yes,,Yes,Yes,Other (specify)
3989,No,No,Government grants,No,,Yes,Yes,Disability Grant
4011,No,No,Income from a business,No,,Yes,Yes,Foster Child Grant
4019,No,No,Government grants,No,,No,Yes,Child Support Grant (CSG)
4021,No,No,Government grants,Yes,3140.0,No,Yes,Child Support Grant (CSG)
4026,No,No,Other (specify),No,1000.0,Yes,Yes,Other (specify)
4033,No,No,Government grants,No,3740.0,Yes,Yes,Child Support Grant (CSG)
4038,No,No,Money from friends or family,Yes,2000.0,Yes,Yes,Child Support Grant (CSG)
4039,No,No,Government grants,Yes,,Yes,Yes,Other (specify)
4047,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
4053,No,No,Household had no income in February,Yes,,Yes,Yes,Child Support Grant (CSG)
4067,No,No,Income from employment,No,2500.0,Yes,Yes,Other (specify)
4069,No,No,Money from friends or family,Yes,,Yes,Yes,Child Support Grant (CSG)
4074,No,No,Government grants,Yes,2200.0,Yes,Yes,Child Support Grant (CSG)
4079,No,No,Government grants,Yes,3000.0,No,Yes,Child Support Grant (CSG)
4083,No,No,Government grants,No,,Yes,Yes,Foster Child Grant
4090,No,No,Government grants,No,1280.0,Yes,Yes,Foster Child Grant
4104,No,No,Money from friends or family,No,1800.0,Yes,Yes,Other (specify)
4118,No,No,Government grants,No,700.0,Yes,Yes,Other (specify)
4121,No,No,Government grants,Yes,1200.0,Yes,Yes,Child Support Grant (CSG)
4122,No,No,Other (specify),Yes,0.0,Yes,Yes,Other (specify)
4124,No,No,Income from employment,No,3200.0,Yes,Yes,Other (specify)
4126,No,No,Government grants,No,0.0,Yes,Yes,Child Support Grant (CSG)
4130,No,No,Money from friends or family,Yes,2500.0,Yes,Yes,Child Support Grant (CSG)
4132,No,No,Government grants,No,6000.0,No,Yes,Child Support Grant (CSG)
4135,No,No,Government grants,No,1260.0,No,Yes,Child Support Grant (CSG)
4136,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
4142,No,No,Government grants,No,,No,Yes,Disability Grant
4161,No,No,Household had no income in February,No,0.0,Yes,Yes,Old Age Pension Grant (OAP)
4167,No,No,Income from employment,No,,Yes,Yes,Other (specify)
4168,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
4173,No,No,Government grants,Yes,,No,Yes,Other (specify)
4174,No,No,Household had no income in February,No,930.0,Yes,Yes,Child Support Grant (CSG)
4177,No,No,Government grants,No,2600.0,No,Yes,Child Support Grant (CSG)
4186,No,No,Income from employment,Yes,,Yes,Yes,R350 COVID-19 Social Relief of Distress Grant
4192,No,No,Government grants,No,1890.0,Yes,Yes,Child Support Grant (CSG)
4200,No,No,Income from employment,No,,Yes,Yes,R350 COVID-19 Social Relief of Distress Grant
4208,No,No,Government grants,Yes,1500.0,Yes,Yes,Old Age Pension Grant (OAP)
4240,No,No,Income from employment,No,,Yes,Yes,Other (specify)
4264,No,No,Income from employment,No,,Yes,Yes,Other (specify)
4293,No,No,Income from a business,Yes,3500.0,Yes,Yes,Foster Child Grant
4309,No,No,Government grants,No,1700.0,No,Yes,Disability Grant
4316,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
4317,No,No,Government grants,No,440.0,Yes,Yes,Child Support Grant (CSG)
4333,No,No,Income from employment,No,1000.0,Yes,Yes,Child Support Grant (CSG)
4345,No,No,Income from a business,Yes,3000.0,Yes,Yes,Child Support Grant (CSG)
4348,No,No,Income from employment,Yes,,Yes,Yes,Other (specify)
4378,No,No,Government grants,No,1200.0,Yes,Yes,Old Age Pension Grant (OAP)
4413,No,No,Government grants,No,1800.0,Yes,Yes,Disability Grant
4428,No,No,Money from friends or family,Yes,1300.0,Yes,Yes,Child Support Grant (CSG)
4436,No,No,Government grants,No,750.0,Yes,Yes,Child Support Grant (CSG)
4438,No,No,Government grants,Yes,2000.0,No,Yes,Child Support Grant (CSG)
4443,No,No,Income from employment,Yes,,Yes,Yes,Child Support Grant (CSG)
4451,No,No,Income from a business,Yes,,No,Yes,Child Support Grant (CSG)
4464,No,No,Government grants,No,1800.0,Yes,Yes,Disability Grant
4469,No,No,Government grants,No,,No,Yes,Child Support Grant (CSG)
4470,No,No,Government grants,Yes,,Yes,Yes,Disability Grant
4487,No,No,Government grants,Yes,1300.0,Yes,Yes,Old Age Pension Grant (OAP)
4503,No,Yes,Government grants,Yes,400.0,Yes,Yes,Old Age Pension Grant (OAP)
4504,No,No,Income from employment,No,4000.0,Yes,Yes,Other (specify)
4511,No,No,Government grants,No,3500.0,Yes,Yes,Disability Grant
4516,No,No,Income from employment,No,3500.0,Yes,Yes,Child Support Grant (CSG)
4535,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
4545,No,No,Government grants,No,,No,Yes,Child Support Grant (CSG)
4554,No,No,Government grants,No,1400.0,Yes,Yes,Old Age Pension Grant (OAP)
4558,No,No,Income from employment,Yes,4500.0,Yes,Yes,Child Support Grant (CSG)
4559,No,No,Household had no income in February,No,1300.0,Yes,Yes,Child Support Grant (CSG)
4567,No,Yes,Government grants,Yes,1600.0,Yes,Yes,Old Age Pension Grant (OAP)
4576,No,No,Household had no income in February,No,0.0,No,Yes,Child Support Grant (CSG)
4589,No,No,Government grants,No,2700.0,No,Yes,Old Age Pension Grant (OAP)
4590,No,No,Government grants,Yes,,No,Yes,Child Support Grant (CSG)
4641,No,No,Government grants,No,3000.0,Yes,Yes,Disability Grant
4645,No,No,Household had no income in February,Yes,4750.0,Yes,Yes,Old Age Pension Grant (OAP)
4651,No,No,Income from employment,No,,Yes,Yes,Other (specify)
4664,No,No,Money from friends or family,No,,Yes,Yes,R350 COVID-19 Social Relief of Distress Grant
4706,No,No,Household had no income in February,No,0.0,Yes,Yes,Child Support Grant (CSG)
4712,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
4764,No,No,Government grants,Yes,,No,Yes,Old Age Pension Grant (OAP)
4766,No,No,Government grants,Yes,,Yes,Yes,Care Dependency Grant
4782,No,No,Income from employment,Yes,0.0,Yes,Yes,Old Age Pension Grant (OAP)
4807,No,No,Income from employment,Yes,1500.0,No,Yes,Child Support Grant (CSG)
4836,No,No,Income from employment,No,2000.0,No,Yes,Child Support Grant (CSG)
4854,No,No,Government grants,No,5000.0,Yes,Yes,Old Age Pension Grant (OAP)
4856,No,No,Government grants,No,,Yes,Yes,R350 COVID-19 Social Relief of Distress Grant
4869,No,No,Income from employment,Yes,,Yes,Yes,Old Age Pension Grant (OAP)
4882,No,No,Government grants,No,2500.0,Yes,Yes,Old Age Pension Grant (OAP)
4912,No,No,Income from employment,No,,Yes,Yes,Other (specify)
4927,No,No,Income from employment,No,14000.0,Yes,Yes,Disability Grant
4949,No,No,Government grants,No,15000.0,Yes,Yes,Old Age Pension Grant (OAP)
4950,No,No,Income from employment,No,27000.0,Yes,Yes,R350 COVID-19 Social Relief of Distress Grant
5003,No,No,Government grants,No,3600.0,Yes,Yes,Old Age Pension Grant (OAP)
5005,No,No,Government grants,No,,No,Yes,Old Age Pension Grant (OAP)
5009,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
5020,No,No,Household had no income in February,Yes,0.0,No,Yes,R350 COVID-19 Social Relief of Distress Grant
5024,No,No,Government grants,No,2200.0,Yes,Yes,Disability Grant
5032,No,No,Income from a business,Yes,1000.0,No,Yes,Child Support Grant (CSG)
5035,No,No,Government grants,Yes,,No,Yes,Child Support Grant (CSG)
5037,No,No,Government grants,No,2000.0,Yes,Yes,Old Age Pension Grant (OAP)
5044,No,No,Income from employment,Yes,1700.0,Yes,Yes,Child Support Grant (CSG)
5068,No,No,Government grants,Yes,,Yes,Yes,Disability Grant
5085,No,No,Household had no income in February,No,,No,Yes,Child Support Grant (CSG)
5090,No,No,Government grants,No,400.0,Yes,Yes,Child Support Grant (CSG)
5096,No,No,Government grants,No,2100.0,Yes,Yes,Old Age Pension Grant (OAP)
5109,No,No,Household had no income in February,No,2000.0,Yes,Yes,Old Age Pension Grant (OAP)
5118,No,No,Money from friends or family,Yes,1500.0,Yes,Yes,Child Support Grant (CSG)
5120,No,No,Government grants,Yes,1700.0,Yes,Yes,Old Age Pension Grant (OAP)
5139,No,No,Government grants,Yes,2000.0,Yes,Yes,Child Support Grant (CSG)
5150,No,No,Government grants,Yes,1100.0,Yes,Yes,Disability Grant
5152,No,No,Household had no income in February,No,1600.0,Yes,Yes,Child Support Grant (CSG)
5154,No,No,Household had no income in February,No,,Yes,Yes,Old Age Pension Grant (OAP)
5160,No,No,Government grants,Yes,,Yes,Yes,Old Age Pension Grant (OAP)
5179,No,No,Government grants,No,2500.0,Yes,Yes,Care Dependency Grant
5180,No,No,Government grants,No,3000.0,Yes,Yes,Disability Grant
5182,No,No,Government grants,Yes,2100.0,Yes,Yes,Old Age Pension Grant (OAP)
5187,No,No,Income from employment,Yes,,Yes,Yes,Disability Grant
5189,No,No,Income from employment,No,5000.0,Yes,Yes,Foster Child Grant
5231,No,No,Government grants,Yes,2000.0,No,Yes,Child Support Grant (CSG)
5232,No,Yes,Income from employment,No,,Yes,Yes,Child Support Grant (CSG)
5251,No,No,Income from a business,Yes,3960.0,No,Yes,Old Age Pension Grant (OAP)
5257,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
5258,No,No,Government grants,No,2200.0,Yes,Yes,Child Support Grant (CSG)
5259,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
5263,No,No,Government grants,Yes,2500.0,Yes,Yes,Old Age Pension Grant (OAP)
5270,No,No,Government grants,No,880.0,No,Yes,Child Support Grant (CSG)
5271,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
5281,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
5293,No,No,Government grants,No,2650.0,Yes,Yes,Old Age Pension Grant (OAP)
5294,No,No,Government grants,Yes,1200.0,Yes,Yes,Child Support Grant (CSG)
5296,No,No,Government grants,Yes,0.0,Yes,Yes,Child Support Grant (CSG)
5300,No,No,Money from friends or family,Yes,1800.0,No,Yes,R350 COVID-19 Social Relief of Distress Grant
5303,No,No,Government grants,Yes,,Yes,Yes,Disability Grant
5305,No,Yes,Government grants,Yes,1200.0,Yes,Yes,Child Support Grant (CSG)
5306,No,No,Household had no income in February,Yes,1800.0,Yes,Yes,Old Age Pension Grant (OAP)
5307,No,No,Income from employment,Yes,1000.0,No,Yes,Child Support Grant (CSG)
5314,No,No,Government grants,No,4000.0,Yes,Yes,Old Age Pension Grant (OAP)
5315,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
5344,No,No,Income from employment,No,,Yes,Yes,Child Support Grant (CSG)
5352,No,No,Government grants,No,,No,Yes,Disability Grant
5357,No,No,Government grants,No,400.0,Yes,Yes,Child Support Grant (CSG)
