job_in_feb,work_in_feb,bus_in_feb,work_days_feb,work_hours_feb,take_home_pay_feb,job_in_apr,work_in_apr,bus_in_apr,work_days_apr,work_hours_apr,take_home_pay_apr,last_monthly_pay_apr,return_to_work,main_form_work,usual_work
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,Yes,,,,,,3900.0,,Regular job,Technicians and associate professionals
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,0.0,0.0,,,Yes,Casual work,Service and sales workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,8.0,3700.0,Yes,,,3.0,5.0,,3700.0,,Regular job,Elementary occupations
Yes,,,5.0,9.0,1900.0,Yes,,,,,,,,Casual work,Elementary occupations
Yes,,,5.0,8.0,1000.0,Yes,,,3.0,8.0,,,,Regular job,Elementary occupations
No,No,Yes,7.0,,200.0,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,Yes,,,6.0,8.0,,2850.0,,Casual work,
Yes,,,6.0,12.0,5000.0,Yes,,,6.0,12.0,,6000.0,,Regular job,Service and sales workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,6.0,2500.0,No,No,No - I did nothing,0.0,0.0,,2500.0,Yes,Casual work,Elementary occupations
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,8.0,,No,No,No - I did nothing,,,,,Yes,Casual work,Professionals
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,6.0,8.0,2900.0,No,No,No - I'm employed,,,,0.0,,Regular job,Technicians and associate professionals
Yes,,,5.0,8.0,2500.0,No,No,No - I'm employed,,,,900.0,,Regular job,Service and sales workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,6.0,8.0,7000.0,No,Yes,,,,7000.0,,,Self-employed,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I'm employed,,,,No,No,No - I'm employed,,,,,,,Professionals
Yes,,,5.0,12.0,4800.0,Yes,,,5.0,12.0,,4800.0,,Regular job,Service and sales workers
Yes,,,,,,Yes,,,5.0,5.0,,1500.0,,Regular job,Elementary occupations
No,Yes,,,,,Yes,,,0.0,0.0,,3000.0,,Regular job,Technicians and associate professionals
Yes,,,5.0,6.0,1000.0,Yes,,,0.0,6.0,,1000.0,,Casual work,Service and sales workers
,,,,,,,,,,,,,,,
Yes,,,5.0,,2000.0,Yes,,,5.0,,,,,Regular job,Clerical support workers
Yes,,,5.0,8.0,5000.0,No,No,No - I did nothing,,,,,No,,
Yes,,,,,1200.0,No,No,No - I did nothing,,,,,No,,
Yes,,,2.0,7.0,740.0,No,No,No - I did nothing,,,,,,,
Yes,,,7.0,8.0,8000.0,Yes,,,7.0,8.0,,8000.0,,Regular job,Elementary occupations
Yes,,,2.0,,780.0,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,2.0,8.0,20000.0,No,No,No - I did nothing,,,,,No,,
Yes,,,4.0,8.0,2000.0,No,No,No - I did nothing,0.0,0.0,,2000.0,Yes,Casual work,Elementary occupations
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,,,
Yes,,,5.0,10.0,18000.0,Yes,,,5.0,10.0,,15000.0,,Regular job,"Plant and machine operators, and assemblers"
Yes,,,5.0,5.0,1500.0,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,Yes,5.0,5.0,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,7.0,500.0,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
"No, I'm retired",,,,,,,,,,,,,,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,6.0,8.0,8000.0,Yes,,,0.0,0.0,,,,Regular job,Technicians and associate professionals
Yes,,,5.0,8.0,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,Yes,5.0,5.0,2000.0,No,Yes,,,,2000.0,,,I run a business,
Yes,,,5.0,8.0,15000.0,No,No,No - I did nothing,,,,,,,
Yes,,,7.0,8.0,4000.0,No,No,No - I did nothing,,,,,No,,
Yes,,,7.0,9.0,6000.0,Yes,,,7.0,9.0,,0.0,,Regular job,"Plant and machine operators, and assemblers"
Yes,,,4.0,12.0,30000.0,Yes,,,4.0,12.0,,15000.0,,Regular job,Service and sales workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,2.0,8.0,,780.0,Yes,Casual work,Elementary occupations
No,No,Yes,5.0,7.0,,No,No,No - I did nothing,,,,,No,,
Yes,,,3.0,12.0,560.0,Yes,,,2.0,12.0,,,,Casual work,Service and sales workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,8.0,,No,No,No - I did nothing,,,,,Yes,Regular job,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,8.0,12000.0,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,9.0,,No,No,No - I'm employed,0.0,0.0,,,,,Professionals
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,12.0,30000.0,Yes,,,5.0,12.0,,30000.0,,Regular job,Managers
Yes,,,7.0,12.0,14000.0,No,No,No - I'm employed,,,,14000.0,,Regular job,Service and sales workers
"No, I'm retired",,,,,,,,,,,,,,,
"No, I'm retired",,,,,,,,,,,,,,,
"No, I'm retired",,,,,,,,,,,,,,,
Yes,,,5.0,5.0,1600.0,No,Yes,,5.0,5.0,,1600.0,,Regular job,Elementary occupations
Yes,,,7.0,6.0,1300.0,No,No,Yes,0.0,0.0,,0.0,,Regular job,Technicians and associate professionals
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,Yes,,5.0,9.0,500.0,No,No,No - I'm employed,0.0,0.0,,0.0,,Regular job,Elementary occupations
Yes,,,5.0,8.0,6000.0,No,No,No - I did nothing,0.0,0.0,,6000.0,Yes,Regular job,Elementary occupations
Yes,,,6.0,,9000.0,Yes,,,7.0,,,12000.0,,Regular job,"Plant and machine operators, and assemblers"
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
"No, I'm retired",,,,,,,,,,,,,,,
No,No,Yes,7.0,8.0,50.0,No,No,No - I did nothing,,,,,No,,
Yes,,,2.0,8.0,780.0,Yes,,,2.0,8.0,,780.0,,Casual work,Clerical support workers
No,No,No - I did nothing,,,,Yes,,,4.0,9.0,,,,Regular job,Craft and related trades workers
Yes,,,5.0,8.0,5000.0,Yes,,,6.0,8.0,,5000.0,,Regular job,Clerical support workers
Yes,,,7.0,8.0,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,8.0,9000.0,Yes,,,0.0,8.0,,12000.0,,Regular job,Managers
No,Yes,,,,8000.0,No,No,No - I did nothing,,,,8000.0,Yes,Regular job,"Plant and machine operators, and assemblers"
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,,,
Yes,,,,,,Yes,,,,,,,,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,2.0,8.0,2000.0,No,No,No - I did nothing,,,,0.0,Yes,Regular job,Service and sales workers
Yes,,,4.0,7.0,3600.0,Yes,,,4.0,8.0,,3900.0,,Regular job,Service and sales workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,Yes,,,,,,,,Self-employed,
Yes,,,,,,No,No,No - I did nothing,,,,,Yes,Casual work,Craft and related trades workers
"No, I'm retired",,,,,,,,,,,,,,,
No,Yes,,7.0,14.0,800.0,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,,,
No,No,No - I did nothing,,,,Yes,,,6.0,8.0,,6000.0,,Casual work,"Plant and machine operators, and assemblers"
Yes,,,4.0,12.0,5500.0,Yes,,,3.0,12.0,,,,Regular job,Service and sales workers
Yes,,,5.0,8.0,5000.0,Yes,,,,,35000.0,,,Self-employed,
No,No,No - I'm employed,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,8.0,10000.0,Yes,,,5.0,8.0,,10000.0,,Regular job,Technicians and associate professionals
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,8.0,3600.0,Yes,,,5.0,8.0,,1300.0,,Regular job,Elementary occupations
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,9.0,2000.0,No,No,No - I did nothing,,,,,Yes,Regular job,Craft and related trades workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,4.0,200.0,Yes,,,,,,,,Self-employed,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,3.0,7.0,1690.0,No,No,No - I did nothing,0.0,0.0,,1690.0,Yes,Regular job,Elementary occupations
Yes,,,3.0,8.0,780.0,No,No,Yes,0.0,0.0,,780.0,,Regular job,Elementary occupations
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,7.0,8.0,1700.0,No,No,No - I'm employed,,,,1700.0,,Regular job,Elementary occupations
Yes,,,3.0,,500.0,No,Yes,,,,,,,Self-employed,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,Yes,3.0,5.0,,No,No,No - I did nothing,,,,,No,,
Yes,,,7.0,12.0,5000.0,Yes,,,7.0,12.0,,5000.0,,Regular job,
Yes,,,5.0,6.0,3000.0,Yes,,,,,3000.0,,,Self-employed,
Yes,,,6.0,8.0,5000.0,Yes,,,6.0,8.0,,5000.0,,Regular job,Elementary occupations
Yes,,,0.0,0.0,0.0,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,8.0,3100.0,No,No,No - I did nothing,0.0,8.0,,3100.0,Yes,Regular job,Clerical support workers
No,Yes,,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,Yes,,,,,800.0,,,Self-employed,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,Yes,,Service and sales workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,8.0,12000.0,Yes,,,5.0,8.0,,12000.0,,Regular job,Craft and related trades workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,,1500.0,No,Yes,,5.0,,,1500.0,,Regular job,Elementary occupations
No,No,Yes,1.0,7.0,500.0,No,No,No - I did nothing,,,500.0,,Yes,Self-employed,
Yes,,,6.0,8.0,,No,No,No - I did nothing,0.0,0.0,,,Yes,Regular job,Craft and related trades workers
Yes,,,5.0,8.0,15000.0,Yes,,,5.0,8.0,,15000.0,,Regular job,Service and sales workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,4.0,8.0,25000.0,Yes,,,4.0,8.0,,25000.0,,Regular job,"Plant and machine operators, and assemblers"
Yes,,,5.0,8.0,12000.0,Yes,,,,,,12000.0,,Regular job,Professionals
Yes,,,7.0,0.0,20000.0,No,No,No - I did nothing,,,,,Yes,I run a business,
Yes,,,,,,No,No,No - I did nothing,,,,7000.0,Yes,Regular job,"Plant and machine operators, and assemblers"
Yes,,,5.0,8.0,4500.0,No,No,No - I'm employed,,,,4000.0,,Regular job,Technicians and associate professionals
No,No,No - I did nothing,,,,No,No,No - I did nothing,0.0,0.0,,0.0,Yes,Regular job,Craft and related trades workers
Yes,,,,,3500.0,Yes,,,,,,3500.0,,Regular job,Service and sales workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,7.0,8.0,1700.0,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,,,
Yes,,,5.0,9.0,21087.0,No,No,No - I did nothing,,,,,No,,
Yes,,,,,2500.0,No,No,No - I did nothing,,,,,Yes,Casual work,Elementary occupations
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,,,,No,No,No - I did nothing,,,,,Yes,Regular job,Managers
Yes,,,4.0,6.0,650.0,Yes,,,5.0,8.0,,,,Regular job,Craft and related trades workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,Yes,,5.0,8.0,,No,No,No - I did nothing,,,,,,,
Yes,,,6.0,8.0,1650.0,No,No,No - I'm employed,,,,,,Regular job,Technicians and associate professionals
Yes,,,6.0,8.0,2100.0,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,12.0,6000.0,Yes,,,5.0,12.0,,5700.0,,Regular job,Service and sales workers
Yes,,,4.0,8.0,21000.0,Yes,,,5.0,8.0,,21000.0,,Regular job,Professionals
No,Yes,,7.0,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,Yes,Casual work,Service and sales workers
Yes,,,5.0,8.0,,Yes,,,5.0,8.0,,,,Regular job,"Plant and machine operators, and assemblers"
Yes,,,2.0,7.0,1200.0,No,No,No - I did nothing,0.0,0.0,,0.0,Yes,Casual work,Elementary occupations
No,No,No - I'm employed,,,,No,No,No - I'm employed,,,,,,,Elementary occupations
"No, I'm retired",,,,,,,,,,,,,,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,9.0,1000.0,No,No,No - I did nothing,0.0,0.0,,,Yes,,Service and sales workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,4.0,12.0,17000.0,Yes,,,4.0,12.0,,17000.0,,Regular job,
No,No,Yes,2.0,4.0,1200.0,No,No,Yes,,,700.0,,,Self-employed,
Yes,,,7.0,9.0,6500.0,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,0.0,0.0,,26000.0,Yes,Regular job,Professionals
Yes,,,5.0,8.0,,No,Yes,,5.0,,,,,Regular job,Service and sales workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,4.0,12.0,9000.0,No,No,No - I did nothing,0.0,0.0,,0.0,Yes,Regular job,"Plant and machine operators, and assemblers"
Yes,,,5.0,8.0,28000.0,Yes,,,5.0,8.0,,28000.0,,Regular job,Technicians and associate professionals
Yes,,,1.0,5.0,17000.0,Yes,,,2.0,1.0,,17000.0,,Regular job,Technicians and associate professionals
Yes,,,6.0,6.0,50000.0,No,No,No - I did nothing,,,,,,,
Yes,,,4.0,12.0,18000.0,Yes,,,4.0,12.0,,18000.0,,Regular job,Professionals
Yes,,,2.0,12.0,6000.0,Yes,,,7.0,12.0,,6000.0,,Regular job,Service and sales workers
Yes,,,5.0,8.0,10500.0,Yes,,,5.0,8.0,,10500.0,,Regular job,Service and sales workers
Yes,,,3.0,,2000.0,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,9.0,2000.0,No,No,No - I did nothing,,,,,No,,
"No, I'm retired",,,,,,,,,,,,,,,
Yes,,,3.0,7.0,1800.0,No,No,No - I did nothing,,,,,,,
"No, I'm retired",,,,,,,,,,,,,,,
Yes,,,5.0,,2600.0,No,,,,,,,,,
Yes,,,6.0,9.0,4700.0,Yes,,,6.0,9.0,,4700.0,,Regular job,Craft and related trades workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,8.0,2500.0,No,No,Yes,,,100.0,,,Self-employed,
Yes,,,5.0,8.0,25000.0,Yes,,,5.0,8.0,,45000.0,,Regular job,Professionals
Yes,,,5.0,8.0,2100.0,No,Yes,,2.0,6.0,,,,Regular job,Clerical support workers
"No, I'm retired",,,,,,,,,,,,,,,
Yes,,,5.0,8.0,9000.0,Yes,,,5.0,8.0,,1000.0,,Regular job,"Plant and machine operators, and assemblers"
"No, I'm retired",,,,,,,,,,,,,,,
No,Yes,,3.0,8.0,170.0,No,No,No - I did nothing,,,,,No,,
"No, I'm retired",,,,,,,,,,,,,,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,,,
Yes,,,4.0,8.0,6000.0,Yes,,,4.0,8.0,,6000.0,,Regular job,"Plant and machine operators, and assemblers"
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,Yes,,5.0,8.0,500.0,No,No,No - I did nothing,0.0,0.0,,,Yes,Casual work,Service and sales workers
Yes,,,5.0,7.0,2500.0,No,No,No - I did nothing,,,,,No,,
"No, I'm retired",,,,,,,,,,,,,,,
No,Yes,,7.0,,250.0,No,Yes,,,,250.0,,,Self-employed,
Yes,,,4.0,18.0,5000.0,Yes,,,5.0,8.0,,5000.0,,Regular job,Service and sales workers
No,,,,,,,,,,,,,,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,5.0,2100.0,No,No,No - I'm employed,5.0,5.0,,2100.0,,Regular job,Service and sales workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,Yes,,1.0,8.0,750.0,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,7.0,5000.0,No,No,No - I did nothing,,,,,Yes,Self-employed,
Yes,,,7.0,14.0,15000.0,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,8.0,2000.0,Yes,,,5.0,8.0,,2000.0,,Regular job,Elementary occupations
Yes,,,5.0,12.0,3800.0,No,Yes,,5.0,12.0,,4900.0,,Casual work,Service and sales workers
Yes,,,7.0,8.0,,No,No,No - I did nothing,0.0,0.0,,1700.0,Yes,Regular job,Technicians and associate professionals
No,Yes,,0.0,0.0,,No,No,No - I'm employed,0.0,0.0,,,,,Elementary occupations
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,4.0,12.0,5600.0,Yes,,,2.0,12.0,,,,Regular job,Service and sales workers
Yes,,,5.0,8.0,3200.0,No,No,Yes,0.0,0.0,,0.0,,Regular job,Service and sales workers
Yes,,,4.0,9.0,3000.0,No,Yes,,5.0,9.0,,1200.0,,Regular job,Elementary occupations
No,Yes,,5.0,5.0,1000.0,No,No,No - I did nothing,,,,,No,,
Yes,,,4.0,5.0,,No,No,No - I'm employed,,,,,,I run a business,
Yes,,,5.0,8.0,2663.0,No,No,No - I did nothing,0.0,0.0,,4000.0,Yes,Regular job,Elementary occupations
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,8.0,1600.0,Yes,,,5.0,8.0,,2000.0,,Casual work,Elementary occupations
Yes,,,5.0,8.0,3600.0,No,No,No - I did nothing,,,,,Yes,Regular job,Elementary occupations
Yes,,,5.0,5.0,8000.0,Yes,,,,,,,,Regular job,Service and sales workers
Yes,,,5.0,8.0,30000.0,Yes,,,5.0,8.0,,30000.0,,Regular job,Managers
Yes,,,1.0,4.0,,No,No,No - I did nothing,,,,,No,,
Yes,,,0.0,0.0,1800.0,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,6.0,20000.0,Yes,,,5.0,4.0,,18000.0,,Regular job,Self-Employed
Yes,,,5.0,8.0,10000.0,No,No,No - I did nothing,,,,,No,,
No,Yes,,7.0,,1500.0,No,No,No - I did nothing,,,,,No,,
"No, I'm retired",,,,,,,,,,,,,,,
Yes,,,4.0,8.0,1400.0,No,No,No - I did nothing,,,,,No,,
Yes,,,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,9.0,,No,No,No - I'm employed,0.0,0.0,,0.0,,Regular job,Professionals
Yes,,,5.0,8.0,2500.0,No,No,No - I did nothing,,,,,Yes,Self-employed,
Yes,,,5.0,8.0,2500.0,Yes,,,5.0,8.0,,7200.0,,Regular job,Managers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
"No, I'm retired",,,,,,,,,,,,,,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
"No, I'm retired",,,,,,,,,,,,,,,
No,Yes,,2.0,6.0,14.0,No,No,No - I did nothing,,,,,No,,
"No, I'm retired",,,,,,,,,,,,,,,
"No, I'm retired",,,,,,,,,,,,,,,
Yes,,,5.0,7.0,18000.0,Yes,,,5.0,4.0,,18000.0,,Regular job,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,8.0,15000.0,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,8.0,55000.0,Yes,,,5.0,8.0,,55000.0,,Regular job,Professionals
Yes,,,4.0,8.0,,Yes,,,2.0,8.0,,,,Regular job,Craft and related trades workers
Yes,,,5.0,8.0,,Yes,,,5.0,8.0,,24000.0,,Regular job,Professionals
Yes,,,5.0,7.0,30000.0,Yes,,,5.0,7.0,,30000.0,,Regular job,Professionals
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,7.0,12.0,5000.0,Yes,,,7.0,12.0,,5600.0,,Regular job,Service and sales workers
Yes,,,4.0,8.0,11100.0,Yes,,,4.0,8.0,,11100.0,,Regular job,Professionals
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,Yes,,0.0,0.0,0.0,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I'm employed,,,,,,,Elementary occupations
No,Yes,,4.0,5.0,450.0,No,No,No - I did nothing,,,,,No,,
Yes,,,4.0,12.0,6000.0,Yes,,,2.0,12.0,,4823.0,,Regular job,Clerical support workers
"No, I'm retired",,,,,,,,,,,,,,,
Yes,,,5.0,6.0,3500.0,No,No,No - I did nothing,,,,3500.0,Yes,Casual work,Service and sales workers
No,No,Yes,7.0,8.0,,No,No,Yes,,,,,,Self-employed,
Yes,,,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,6.0,8.0,4400.0,Yes,,,6.0,8.0,,4400.0,,Regular job,Technicians and associate professionals
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
"No, I'm retired",,,,,,,,,,,,,,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
"No, I'm retired",,,,,,,,,,,,,,,
Yes,,,5.0,8.0,1800.0,No,No,No - I did nothing,,,,7200.0,Yes,Regular job,Professionals
"No, I'm retired",,,,,,,,,,,,,,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,6.0,8.0,,No,No,No - I did nothing,,,,,,,
"No, I'm retired",,,,,,,,,,,,,,,
No,Yes,,6.0,9.0,3000.0,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,7.0,2000.0,Yes,,,5.0,7.0,,1500.0,,Casual work,Technicians and associate professionals
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,9.0,,No,Yes,,5.0,9.0,,4300.0,,Regular job,"Plant and machine operators, and assemblers"
Yes,,,4.0,3.0,1000.0,Yes,,,4.0,3.0,,1000.0,,Casual work,Clerical support workers
"No, I'm retired",,,,,,,,,,,,,,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,2.0,10.0,2200.0,Yes,,,0.0,0.0,,0.0,,Casual work,Professionals
Yes,,,5.0,8.0,12000.0,Yes,,,7.0,12.0,,12000.0,,Regular job,Service and sales workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I'm employed,,,,No,No,No - I did nothing,,,,,,,
Yes,,,5.0,9.0,45000.0,No,No,No - I did nothing,,,,,,,
Yes,,,4.0,12.0,12700.0,Yes,,,4.0,12.0,,13000.0,,Regular job,Technicians and associate professionals
Yes,,,5.0,8.0,10000.0,Yes,,,0.0,0.0,,10000.0,,Regular job,Managers
"No, I'm retired",,,,,,,,,,,,,,,
Yes,,,5.0,5.0,3800.0,No,No,No - I did nothing,0.0,5.0,,3800.0,Yes,Regular job,Clerical support workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,10.0,3800.0,No,No,No - I did nothing,0.0,0.0,,1500.0,Yes,Regular job,Service and sales workers
Yes,,,4.0,7.0,4000.0,No,No,No - I did nothing,0.0,0.0,,4000.0,Yes,Regular job,Service and sales workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,Yes,5.0,4.0,150.0,No,No,Yes,,,95.0,,,I run a business,
Yes,,,5.0,8.0,4000.0,No,No,No - I did nothing,,,,,,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
